Pozycja,Wykonawca,Piosenka,Nr_notowania
9,Brodka & A_GIM,WSZYSTKO CZEGO DZIŚ CHCĘ,1919
10,Mela Koteluk,ODPROWADŹ,1919
1,Riverside,RIVER DOWN BELOW,1920
2,Dawid Podsiadło,NIE MA FAL,1920
3,Zaz,QUE VENDRA,1920
4,Mela Koteluk,ODPROWADŹ,1920
5,Kortez,STARE DRZEWA,1920
6,Lao Che,SEN A'LA TREN,1920
7,Pablopavo i Ludziki,KARWOSKI,1920
8,Artur Andrus,STARGARD IN THE NIGHT,1920
9,Kortez,HEJ WY,1920
10,Brodka & A_GIM,WSZYSTKO CZEGO DZIŚ CHCĘ,1920
1,Mela Koteluk,ODPROWADŹ,1921
2,Dawid Podsiadło,NIE MA FAL,1921
3,Riverside,RIVER DOWN BELOW,1921
4,Lao Che,SEN A'LA TREN,1921
5,Zaz,QUE VENDRA,1921
6,Kortez,STARE DRZEWA,1921
7,Pablopavo i Ludziki,KARWOSKI,1921
8,Artur Andrus,STARGARD IN THE NIGHT,1921
9,Greta Van Fleet,"LOVER, LEAVER",1921
10,Kortez,HEJ WY,1921
1,Riverside,RIVER DOWN BELOW,1922
2,Organek i Kazik,POLSKA (MĘSKIE GRANIE 2018),1922
3,Dawid Podsiadło,NIE MA FAL,1922
4,Mela Koteluk,ODPROWADŹ,1922
5,Zaz,QUE VENDRA,1922
6,Lao Che,SEN A'LA TREN,1922
7,Artur Andrus,STARGARD IN THE NIGHT,1922
8,Kortez,STARE DRZEWA,1922
9,Pablopavo i Ludziki,KARWOSKI,1922
10,Greta Van Fleet,"LOVER, LEAVER",1922
1,Organek i Kazik,POLSKA (MĘSKIE GRANIE 2018),1923
2,Riverside,RIVER DOWN BELOW,1923
3,Kortez,STARE DRZEWA,1923
4,Mela Koteluk,ODPROWADŹ,1923
5,Dawid Podsiadło,NIE MA FAL,1923
6,Zaz,QUE VENDRA,1923
7,Lao Che,SEN A'LA TREN,1923
8,Artur Andrus,STARGARD IN THE NIGHT,1923
